Tornado Number per Year,Year,Month,Day,Date,Time,TimeZone,State,State FIPS Number,Number of Tornado per State per Year,Magnitude,Injuries,Fatalities,Property Loss ($),Crop Loss (millions $),Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude,Length (miles),Width (yards),fc,Zip Code
427844,2013,1,10,1/10/2013,5:30:00,3,LA,22,0,1,0,0,0.2,0.0,30.27,-91.9,30.29,-91.88,2.06,50,0,70517
427843,2013,1,10,1/10/2013,5:51:00,3,LA,22,0,1,0,0,0.1,0.0,29.95,-91.78,30.03,-91.74,5.53,50,0,70560
428684,2013,1,10,1/10/2013,7:35:00,3,LA,22,0,0,0,0,0.01,0.0,30.28,-91.21,30.28,-91.21,0.3,100,0,70764
422504,2013,1,12,1/12/2013,15:18:00,3,KY,21,0,2,0,0,0.1,0.0,37.28,-88.37,37.3,-88.35,1.83,200,0,42047
419553,2013,1,12,1/12/2013,23:30:00,3,LA,22,0,1,2,0,0.12,0.0,32.18,-93.59,32.26,-93.5,7.06,300,0,71052
430076,2013,1,13,1/13/2013,12:15:00,3,LA,22,0,1,0,0,0.1,0.0,30.25,-91.83,30.26,-91.82,0.38,25,0,70517
428700,2013,1,13,1/13/2013,13:19:00,3,LA,22,0,0,0,0,0.04,0.0,30.65,-91.2,30.77,-91.05,12.46,40,0,70791
428322,2013,1,13,1/13/2013,15:36:00,3,TN,47,0,0,0,0,0.03,0.01,35.72,-86.67,35.72,-86.64,1.59,100,0,37060
428702,2013,1,13,1/13/2013,16:45:00,3,MS,28,0,1,0,0,0.04,0.0,30.81,-89.5,30.83,-89.5,1.0,150,0,39470
431498,2013,1,13,1/13/2013,18:15:00,3,MS,28,0,1,0,0,0.1,0.0,31.59,-88.53,31.63,-88.49,3.35,200,0,39367
429858,2013,1,29,1/29/2013,6:48:00,3,OK,40,0,1,0,0,0.2,0.0,36.16,-97.46,36.16,-97.44,1.1,40,0,73073
422620,2013,1,29,1/29/2013,11:00:00,3,MO,29,0,1,0,0,0.1,0.0,37.84,-93.88,37.84,-93.83,2.66,200,0,64744
422623,2013,1,29,1/29/2013,11:15:00,3,MO,29,0,1,0,0,0.23,0.0,37.98,-93.61,38.02,-93.47,8.58,400,0,64776
422660,2013,1,29,1/29/2013,14:55:00,3,OK,40,0,1,0,0,0.02,0.0,35.6,-94.5,35.7,-94.39,9.0,700,0,74948
432081,2013,1,29,1/29/2013,15:14:00,3,MO,29,0,1,0,0,0.0,0.0,38.66,-91.13,38.66,-91.11,1.17,40,0,63357
422601,2013,1,29,1/29/2013,15:34:00,3,AR,5,0,1,0,0,0.5,0.0,36.02,-94.06,36.07,-94.0,4.2,400,0,72701
432083,2013,1,29,1/29/2013,15:36:00,3,MO,29,0,0,0,0,0.0,0.0,38.91,-90.81,38.93,-90.79,1.66,30,0,63369
422603,2013,1,29,1/29/2013,15:57:00,3,AR,5,0,1,0,0,0.25,0.0,36.3,-93.7,36.3,-93.66,2.0,350,0,72740
423332,2013,1,29,1/29/2013,18:15:00,3,TX,48,0,0,0,0,0.01,0.0,32.7,-95.55,32.7,-95.55,0.19,325,0,75773
424060,2013,1,29,1/29/2013,18:48:00,3,MS,28,0,0,0,0,0.01,0.0,33.59,-91.02,33.59,-91.01,0.45,50,0,38725
422562,2013,1,29,1/29/2013,20:01:00,3,AR,5,0,0,0,0,0.01,0.0,34.5,-92.1,34.55,-92.03,5.25,50,0,72046
424851,2013,1,29,1/29/2013,20:14:00,3,MO,29,0,1,0,0,0.1,0.0,36.69,-90.76,36.69,-90.75,0.27,100,0,63935
424852,2013,1,29,1/29/2013,20:45:00,3,MO,29,0,2,0,0,0.06,0.0,36.76,-90.26,36.79,-90.22,3.39,100,0,63940
422560,2013,1,29,1/29/2013,20:51:00,3,AR,5,0,0,0,0,0.02,0.0,33.65,-91.74,33.67,-91.69,3.57,50,0,71655
424853,2013,1,29,1/29/2013,21:13:00,3,MO,29,0,1,0,0,0.25,0.0,37.18,-89.77,37.23,-89.69,5.45,100,0,63730
424854,2013,1,29,1/29/2013,21:13:00,3,MO,29,0,1,0,0,0.08,0.0,37.33,-89.73,37.33,-89.61,6.79,100,0,63701
424161,2013,1,29,1/29/2013,21:36:00,3,LA,22,0,2,0,0,0.25,0.0,32.73,-91.57,32.8,-91.52,5.37,100,0,71266
428114,2013,1,29,1/29/2013,21:38:00,3,IL,17,0,0,0,0,0.0,0.0,37.97,-89.11,37.98,-89.1,0.58,75,0,62865
424803,2013,1,29,1/29/2013,22:16:00,3,IL,17,0,2,2,0,0.2,0.0,37.84,-88.62,37.85,-88.6,0.97,125,0,62935
424168,2013,1,29,1/29/2013,23:10:00,3,MS,28,0,1,0,0,0.17,0.0,33.68,-90.8,33.75,-90.76,5.53,150,0,38730
424825,2013,1,29,1/29/2013,23:36:00,3,KY,21,0,0,0,0,0.03,0.0,36.59,-88.43,36.6,-88.39,2.12,100,0,42071
