Tornado Number per Year,Year,Month,Day,Date,Time,TimeZone,State,State FIPS Number,Number of Tornado per State per Year,Magnitude,Injuries,Fatalities,Property Loss ($),Crop Loss (millions $),Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude,Length (miles),Width (yards),fc
1,1995,1,6,1/6/95,9:40:00,3,LA,22,1,1,0,0,4,0,31.52,-92.23,31.62,-92.05,15,20,0
2,1995,1,6,1/6/95,11:05:00,3,LA,22,2,1,8,0,5,0,30.23,-92.18,30.23,-92.1,5,30,0
3,1995,1,6,1/6/95,11:10:00,3,LA,22,3,0,0,0,0,0,29.97,-92.17,0,0,0.2,20,0
4,1995,1,6,1/6/95,20:10:00,3,SC,45,1,1,0,0,4,0,34.13,-81.23,34.13,-81.2,3,100,0
5,1995,1,6,1/6/95,20:14:00,3,SC,45,2,1,0,0,5,0,34.4,-81.07,0,0,0.2,100,0
6,1995,1,6,1/6/95,22:15:00,3,NC,37,1,0,3,1,5,0,34.7,-78.55,0,0,2,150,0
7,1995,1,6,1/6/95,23:30:00,3,NC,37,2,1,1,0,4,0,35.12,-78.1,0,0,1,73,0
8,1995,1,6,1/6/95,23:40:00,3,NC,37,3,1,8,0,4,0,35.32,-77.73,0,0,1,100,0
9,1995,1,6,1/6/95,23:45:00,3,NC,37,4,1,13,0,5,0,35,-78.4,0,0,1,73,0
10,1995,1,6,1/6/95,23:45:00,3,NC,37,5,1,22,0,6,0,35.23,-77.85,0,0,0.5,50,0
11,1995,1,7,1/7/95,2:25:00,3,LA,22,4,1,0,0,4,0,30.95,-92.07,31.1,-91.92,17,23,0
12,1995,1,7,1/7/95,3:50:00,3,FL,12,1,2,20,1,6,0,29,-82.12,29,-81.92,12,440,0
13,1995,1,7,1/7/95,6:15:00,3,FL,12,2,1,0,0,5,0,28.55,-81.37,0,0,2,40,0
14,1995,1,12,1/12/95,13:54:00,3,TX,48,1,0,0,0,0,0,30.42,-97.05,0,0,0.1,10,0
15,1995,1,12,1/12/95,19:48:00,3,TX,48,2,0,0,0,4,0,29.58,-96.38,0,0,0.1,10,0
16,1995,1,12,1/12/95,20:03:00,3,TX,48,3,0,0,0,4,0,29.78,-96.15,0,0,0.1,10,0
17,1995,1,12,1/12/95,21:30:00,3,TX,48,4,0,0,0,4,0,30.33,-95.47,0,0,0.1,10,0
18,1995,1,12,1/12/95,23:42:00,3,TX,48,5,1,0,0,0,0,30.02,-93.85,30.1,-93.73,10,200,0
19,1995,1,14,1/14/95,6:14:00,3,SC,45,3,0,0,0,3,0,34.18,-81.5,0,0,0.1,40,0
20,1995,1,14,1/14/95,6:29:00,3,SC,45,4,0,0,0,0,0,34.27,-81.42,0,0,0.1,20,0
21,1995,1,14,1/14/95,7:25:00,3,SC,45,5,0,0,0,3,0,33.52,-81.05,0,0,0.1,20,0
22,1995,1,14,1/14/95,7:30:00,3,SC,45,6,1,0,0,3,0,34.52,-83.02,0,0,1,30,0
23,1995,1,14,1/14/95,9:56:00,3,SC,45,7,1,0,0,4,0,33.77,-81.33,0,0,1,73,0
24,1995,1,14,1/14/95,11:00:00,3,FL,12,3,0,0,0,4,0,26.12,-80.17,26.15,-80.13,3,30,0
25,1995,1,14,1/14/95,19:15:00,3,CA,6,1,1,0,0,6,0,37.12,-120.27,0,0,1,10,0
26,1995,1,18,1/18/95,10:45:00,3,TX,48,6,0,0,0,0,0,30.28,-94.17,0,0,0.1,50,0
27,1995,1,18,1/18/95,13:55:00,3,LA,22,5,1,0,1,0,0,31.15,-92.5,31.2,-92.35,5,20,0
28,1995,1,18,1/18/95,14:48:00,3,LA,22,6,1,1,0,5,0,30.38,-91.23,30.45,-91.22,5,30,0
29,1995,1,18,1/18/95,15:40:00,3,MS,28,1,0,0,0,3,0,33.45,-89.88,0,0,1,23,0
30,1995,1,18,1/18/95,15:48:00,3,MS,28,2,0,0,0,3,0,33.48,-89.73,0,0,2,40,0
31,1995,1,18,1/18/95,18:45:00,3,LA,22,7,1,0,0,5,0,29.6,-90.72,0,0,0.2,20,0
32,1995,1,19,1/19/95,14:35:00,3,GA,13,1,0,0,0,5,0,34.23,-83.62,34.4,-83.57,11,33,0
33,1995,1,22,1/22/95,17:30:00,3,LA,22,8,0,0,0,0,0,30.52,-93.23,0,0,0.1,20,0
34,1995,1,27,1/27/95,10:00:00,3,LA,22,9,1,0,0,0,0,30.67,-93.3,0,0,0.7,23,0
35,1995,1,27,1/27/95,16:30:00,3,LA,22,10,0,0,0,0,0,31.15,-93.27,0,0,0.1,20,0
36,1995,1,28,1/28/95,15:55:00,3,TN,47,1,1,0,0,4,0,35.75,-86.55,35.78,-86.5,3,50,0
38,1995,2,4,2/4/95,6:30:00,3,FL,12,5,0,0,0,0,0,25.88,-81.55,0,0,0.1,10,0
37,1995,2,4,2/4/95,7:15:00,3,FL,12,4,0,0,0,5,0,26.12,-81.78,0,0,0.1,10,0
39,1995,2,13,2/13/95,17:08:00,3,AZ,4,1,1,0,0,6,0,33.35,-111.7,0,0,0.5,10,0
40,1995,2,16,2/16/95,3:32:00,3,AL,1,1,1,0,0,5,0,34.13,-87.87,34.22,-87.77,6,80,0
41,1995,2,16,2/16/95,4:59:00,3,AL,1,2,3,130,6,6,0,34.25,-86.58,34.27,-86.32,14,703,0
42,1995,2,16,2/16/95,5:28:00,3,AL,1,3,2,3,0,5,0,34.33,-86.22,34.4,-86,12,700,0
43,1995,2,17,2/17/95,14:30:00,3,FL,12,6,0,0,0,0,0,30.15,-85.23,0,0,2,30,0
44,1995,3,6,3/6/95,17:13:00,3,MS,28,3,0,0,0,3,0,32.67,-90.18,0,0,1,200,0
45,1995,3,6,3/6/95,20:30:00,3,TN,47,2,0,0,0,5,0,35.65,-88.4,0,0,0.5,50,0
46,1995,3,6,3/6/95,22:00:00,3,LA,22,11,0,0,0,0,0,31.58,-92.67,0,0,0.1,10,0
47,1995,3,7,3/7/95,3:16:00,3,LA,22,12,2,0,0,0,0,32.07,-91.38,0,0,1,40,0
48,1995,3,7,3/7/95,3:45:00,3,LA,22,13,2,1,0,0,0,32.17,-91.35,0,0,1,40,0
49,1995,3,7,3/7/95,3:45:00,3,LA,22,14,1,0,0,0,0,32.25,-91.2,0,0,0.5,23,0
50,1995,3,7,3/7/95,5:40:00,3,TX,48,7,0,0,0,4,0,30.8,-94.42,0,0,0.1,10,0
